fecha,producto,cantidad,precio
2026-01-27 12:03:40.438178,Notebook,9,938.41
2026-01-27 12:03:40.438178,Blackboard,5,1491.46
2026-01-27 12:03:40.438178,Pencil,10,342.66
2026-01-27 12:03:40.438178,Pencil,1,1444.43
2026-01-27 12:03:40.438178,Book,5,194.87
2026-01-27 12:03:40.438178,Book,2,495.49
2026-01-27 12:03:40.438178,Book,1,307.96
2026-01-27 12:03:40.438178,Pencil,3,384.61
2026-01-27 12:03:40.438178,Blackboard,2,726.82
2026-01-27 12:03:40.438178,Book,3,585.69
2026-01-27 12:03:40.438178,Pencil,7,377.88
2026-01-27 12:03:40.438178,Notebook,2,178.05
2026-01-27 12:03:40.438178,Blackboard,5,247.45
2026-01-27 12:03:40.438178,Blackboard,2,790.48
2026-01-27 12:03:40.438178,Book,4,596.78
2026-01-27 12:03:40.438178,Book,1,979.57
2026-01-27 12:03:40.438178,Book,3,568.19
2026-01-27 12:03:40.438178,Pencil,5,1243.22
2026-01-27 12:03:40.438178,Paper,9,523.67
2026-01-27 12:03:40.438178,Blackboard,6,351.64
2026-01-27 12:03:40.438178,Pencil,9,1120.53
2026-01-27 12:03:40.438178,Pencil,8,399.64
2026-01-27 12:03:40.438178,Pencil,1,1248.66
2026-01-27 12:03:40.438178,Book,10,1034.36
2026-01-27 12:03:40.438178,Notebook,4,124.45
2026-01-27 12:03:40.438178,Book,4,141.78
2026-01-27 12:03:40.438178,Blackboard,3,914.23
2026-01-27 12:03:40.438178,Notebook,7,926.19
2026-01-27 12:03:40.438178,Book,4,1287.15
2026-01-27 12:03:40.438178,Pencil,7,136.96
2026-01-27 12:03:40.438178,Paper,2,169.57
2026-01-27 12:03:40.438178,Book,7,1053.37
2026-01-27 12:03:40.438178,Pencil,4,768.08
2026-01-27 12:03:40.438178,Book,5,257.42
2026-01-27 12:03:40.438178,Notebook,2,385.54
2026-01-27 12:03:40.438178,Blackboard,10,1367.79
2026-01-27 12:03:40.438178,Blackboard,7,354.5
2026-01-27 12:03:40.438178,Paper,7,357.66
2026-01-27 12:03:40.438178,Notebook,9,1246.86
2026-01-27 12:03:40.438178,Blackboard,7,732.6
2026-01-27 12:03:40.438178,Book,2,536.77
2026-01-27 12:03:40.438178,Book,9,408.34
2026-01-27 12:03:40.438178,Blackboard,10,241.05
2026-01-27 12:03:40.438178,Notebook,9,1438.56
2026-01-27 12:03:40.438178,Pencil,5,172.58
2026-01-27 12:03:40.438178,Book,10,1289.58
2026-01-27 12:03:40.438178,Book,10,208.91
2026-01-27 12:03:40.438178,Notebook,3,777.62
2026-01-27 12:03:40.438178,Blackboard,3,1133.43
2026-01-27 12:03:40.438178,Blackboard,2,1239.35
