fecha,producto,cantidad,precio
2026-01-27 12:07:26.446748,Blackboard,8,434.51
2026-01-27 12:07:26.446748,Blackboard,9,1000.99
2026-01-27 12:07:26.446748,Paper,2,896.16
2026-01-27 12:07:26.446748,Pencil,1,1055.12
2026-01-27 12:07:26.446748,Book,2,893.27
2026-01-27 12:07:26.446748,Pencil,7,1063.14
2026-01-27 12:07:26.446748,Pencil,6,530.98
2026-01-27 12:07:26.446748,Blackboard,7,199.95
2026-01-27 12:07:26.446748,Pencil,4,912.68
2026-01-27 12:07:26.446748,Pencil,6,1289.61
2026-01-27 12:07:26.446748,Book,9,320.11
2026-01-27 12:07:26.446748,Blackboard,7,1180.17
2026-01-27 12:07:26.446748,Blackboard,3,322.98
2026-01-27 12:07:26.446748,Blackboard,7,497.92
2026-01-27 12:07:26.446748,Paper,4,378.5
2026-01-27 12:07:26.446748,Notebook,4,437.33
2026-01-27 12:07:26.446748,Paper,6,1483.54
2026-01-27 12:07:26.446748,Blackboard,10,1419.84
2026-01-27 12:07:26.446748,Pencil,8,111.23
2026-01-27 12:07:26.446748,Paper,1,499.92
2026-01-27 12:07:26.446748,Paper,4,713.22
2026-01-27 12:07:26.446748,Blackboard,8,1030.63
2026-01-27 12:07:26.446748,Blackboard,9,663.53
2026-01-27 12:07:26.446748,Blackboard,10,160.87
2026-01-27 12:07:26.446748,Paper,6,1075.58
2026-01-27 12:07:26.446748,Pencil,10,650.08
2026-01-27 12:07:26.446748,Notebook,2,880.54
2026-01-27 12:07:26.446748,Blackboard,4,313.21
2026-01-27 12:07:26.446748,Blackboard,10,1399.11
2026-01-27 12:07:26.446748,Book,4,1052.6
2026-01-27 12:07:26.446748,Paper,7,1290.46
2026-01-27 12:07:26.446748,Blackboard,2,279.24
2026-01-27 12:07:26.446748,Notebook,1,569.84
2026-01-27 12:07:26.446748,Pencil,3,238.89
2026-01-27 12:07:26.446748,Blackboard,10,749.65
2026-01-27 12:07:26.446748,Paper,4,1467.49
2026-01-27 12:07:26.446748,Pencil,4,450.1
2026-01-27 12:07:26.446748,Blackboard,9,930.65
2026-01-27 12:07:26.446748,Blackboard,2,1300.63
2026-01-27 12:07:26.446748,Notebook,8,1447.41
2026-01-27 12:07:26.446748,Book,4,1421.58
2026-01-27 12:07:26.446748,Notebook,1,118.4
2026-01-27 12:07:26.446748,Blackboard,4,824.64
2026-01-27 12:07:26.446748,Book,8,356.34
2026-01-27 12:07:26.446748,Paper,5,1297.32
2026-01-27 12:07:26.446748,Paper,2,1032.25
2026-01-27 12:07:26.446748,Notebook,7,1117.88
2026-01-27 12:07:26.446748,Pencil,10,1443.42
2026-01-27 12:07:26.446748,Paper,8,877.78
2026-01-27 12:07:26.446748,Pencil,10,434.85
