fecha,producto,cantidad,precio
2026-01-27 12:17:27.113895,Notebook,1,261.0
2026-01-27 12:17:27.113895,Notebook,7,355.86
2026-01-27 12:17:27.113895,Pencil,5,132.18
2026-01-27 12:17:27.113895,Blackboard,10,592.28
2026-01-27 12:17:27.113895,Pencil,2,824.55
2026-01-27 12:17:27.113895,Blackboard,3,1439.62
2026-01-27 12:17:27.113895,Notebook,10,754.16
2026-01-27 12:17:27.113895,Paper,9,718.28
2026-01-27 12:17:27.113895,Pencil,4,193.18
2026-01-27 12:17:27.113895,Notebook,2,899.29
2026-01-27 12:17:27.113895,Book,6,858.55
2026-01-27 12:17:27.113895,Blackboard,4,360.78
2026-01-27 12:17:27.113895,Paper,4,1376.48
2026-01-27 12:17:27.113895,Notebook,9,303.23
2026-01-27 12:17:27.113895,Book,7,488.06
2026-01-27 12:17:27.113895,Blackboard,5,115.74
2026-01-27 12:17:27.113895,Pencil,5,723.91
2026-01-27 12:17:27.113895,Book,8,572.05
2026-01-27 12:17:27.113895,Pencil,10,243.04
2026-01-27 12:17:27.113895,Blackboard,10,287.27
2026-01-27 12:17:27.113895,Book,9,472.62
2026-01-27 12:17:27.113895,Book,8,552.02
2026-01-27 12:17:27.113895,Notebook,3,1226.75
2026-01-27 12:17:27.113895,Pencil,8,996.55
2026-01-27 12:17:27.113895,Book,3,1406.54
2026-01-27 12:17:27.113895,Pencil,9,1141.79
2026-01-27 12:17:27.113895,Paper,5,118.55
2026-01-27 12:17:27.113895,Book,6,202.75
2026-01-27 12:17:27.113895,Notebook,2,419.76
2026-01-27 12:17:27.113895,Blackboard,3,851.56
2026-01-27 12:17:27.113895,Blackboard,5,880.68
2026-01-27 12:17:27.113895,Paper,4,632.72
2026-01-27 12:17:27.113895,Paper,5,1105.3
2026-01-27 12:17:27.113895,Book,6,665.33
2026-01-27 12:17:27.113895,Pencil,1,916.89
2026-01-27 12:17:27.113895,Paper,7,494.67
2026-01-27 12:17:27.113895,Blackboard,9,989.22
2026-01-27 12:17:27.113895,Book,1,232.53
2026-01-27 12:17:27.113895,Pencil,10,450.21
2026-01-27 12:17:27.113895,Blackboard,6,970.47
2026-01-27 12:17:27.113895,Paper,3,263.92
2026-01-27 12:17:27.113895,Book,9,270.99
2026-01-27 12:17:27.113895,Pencil,4,1035.01
2026-01-27 12:17:27.113895,Paper,2,1102.23
2026-01-27 12:17:27.113895,Blackboard,10,348.56
2026-01-27 12:17:27.113895,Paper,4,190.37
2026-01-27 12:17:27.113895,Notebook,3,426.85
2026-01-27 12:17:27.113895,Pencil,4,1372.02
2026-01-27 12:17:27.113895,Book,2,282.98
2026-01-27 12:17:27.113895,Paper,2,1201.97
