fecha,producto,cantidad,precio
2026-01-27 12:05:29.960949,Paper,3,1457.15
2026-01-27 12:05:29.960949,Notebook,7,1405.38
2026-01-27 12:05:29.960949,Notebook,1,1465.2
2026-01-27 12:05:29.960949,Blackboard,1,928.86
2026-01-27 12:05:29.960949,Pencil,1,1178.48
2026-01-27 12:05:29.960949,Blackboard,8,951.77
2026-01-27 12:05:29.960949,Pencil,2,1300.59
2026-01-27 12:05:29.960949,Book,9,1005.45
2026-01-27 12:05:29.960949,Book,10,569.13
2026-01-27 12:05:29.960949,Book,10,1145.55
2026-01-27 12:05:29.960949,Book,4,1094.11
2026-01-27 12:05:29.960949,Blackboard,7,1028.62
2026-01-27 12:05:29.960949,Blackboard,5,452.57
2026-01-27 12:05:29.960949,Book,8,399.97
2026-01-27 12:05:29.960949,Paper,2,241.03
2026-01-27 12:05:29.960949,Paper,10,597.29
2026-01-27 12:05:29.960949,Blackboard,9,117.38
2026-01-27 12:05:29.960949,Book,10,1340.86
2026-01-27 12:05:29.960949,Paper,6,1307.56
2026-01-27 12:05:29.960949,Blackboard,2,1246.12
2026-01-27 12:05:29.960949,Book,10,328.77
2026-01-27 12:05:29.960949,Notebook,7,437.36
2026-01-27 12:05:29.960949,Paper,6,1268.43
2026-01-27 12:05:29.960949,Notebook,9,724.67
2026-01-27 12:05:29.960949,Pencil,2,1176.43
2026-01-27 12:05:29.960949,Paper,8,485.46
2026-01-27 12:05:29.960949,Blackboard,2,1320.9
2026-01-27 12:05:29.960949,Book,5,645.42
2026-01-27 12:05:29.960949,Book,3,500.7
2026-01-27 12:05:29.960949,Notebook,9,279.04
2026-01-27 12:05:29.960949,Book,7,847.77
2026-01-27 12:05:29.960949,Book,6,1092.44
2026-01-27 12:05:29.960949,Pencil,6,765.57
2026-01-27 12:05:29.960949,Blackboard,8,792.75
2026-01-27 12:05:29.960949,Notebook,8,221.29
2026-01-27 12:05:29.960949,Paper,6,1018.06
2026-01-27 12:05:29.960949,Book,10,1404.02
2026-01-27 12:05:29.960949,Blackboard,9,1084.58
2026-01-27 12:05:29.960949,Pencil,9,1149.84
2026-01-27 12:05:29.960949,Book,5,1233.76
2026-01-27 12:05:29.960949,Notebook,2,1215.06
2026-01-27 12:05:29.960949,Blackboard,4,845.03
2026-01-27 12:05:29.960949,Pencil,6,182.69
2026-01-27 12:05:29.960949,Notebook,2,350.28
2026-01-27 12:05:29.960949,Notebook,7,551.56
2026-01-27 12:05:29.960949,Notebook,10,642.86
2026-01-27 12:05:29.960949,Blackboard,8,340.95
2026-01-27 12:05:29.960949,Paper,4,370.78
2026-01-27 12:05:29.960949,Pencil,5,792.65
2026-01-27 12:05:29.960949,Notebook,9,545.18
