fecha,producto,cantidad,precio
2026-01-27 11:50:53.156385,Blackboard,10,1128.63
2026-01-27 11:50:53.156385,Notebook,2,115.42
2026-01-27 11:50:53.156385,Paper,8,1402.95
2026-01-27 11:50:53.156385,Notebook,3,387.78
2026-01-27 11:50:53.156385,Blackboard,6,1286.92
2026-01-27 11:50:53.156385,Book,4,1308.01
2026-01-27 11:50:53.156385,Notebook,3,1146.27
2026-01-27 11:50:53.156385,Blackboard,3,366.85
2026-01-27 11:50:53.156385,Paper,3,376.84
2026-01-27 11:50:53.156385,Pencil,1,357.38
2026-01-27 11:50:53.156385,Book,4,1044.72
2026-01-27 11:50:53.156385,Notebook,2,849.1
2026-01-27 11:50:53.156385,Notebook,4,218.54
2026-01-27 11:50:53.156385,Blackboard,4,255.55
2026-01-27 11:50:53.156385,Pencil,2,165.93
2026-01-27 11:50:53.156385,Book,7,913.01
2026-01-27 11:50:53.156385,Book,7,1279.78
2026-01-27 11:50:53.156385,Book,9,975.76
2026-01-27 11:50:53.156385,Notebook,7,1280.04
2026-01-27 11:50:53.156385,Blackboard,4,304.35
2026-01-27 11:50:53.156385,Notebook,2,1114.52
2026-01-27 11:50:53.156385,Paper,1,272.64
2026-01-27 11:50:53.156385,Blackboard,4,1013.1
2026-01-27 11:50:53.156385,Book,7,841.5
2026-01-27 11:50:53.156385,Pencil,1,1473.45
2026-01-27 11:50:53.156385,Blackboard,8,1233.03
2026-01-27 11:50:53.156385,Pencil,5,1439.06
2026-01-27 11:50:53.156385,Pencil,3,786.34
2026-01-27 11:50:53.156385,Notebook,4,795.34
2026-01-27 11:50:53.156385,Paper,5,1263.38
2026-01-27 11:50:53.156385,Notebook,4,322.36
2026-01-27 11:50:53.156385,Pencil,10,1459.35
2026-01-27 11:50:53.156385,Pencil,9,896.24
2026-01-27 11:50:53.156385,Book,10,1282.02
2026-01-27 11:50:53.156385,Book,5,925.97
2026-01-27 11:50:53.156385,Book,1,829.24
2026-01-27 11:50:53.156385,Pencil,3,1306.59
2026-01-27 11:50:53.156385,Pencil,9,987.7
2026-01-27 11:50:53.156385,Paper,5,860.25
2026-01-27 11:50:53.156385,Notebook,8,520.56
2026-01-27 11:50:53.156385,Book,7,116.23
2026-01-27 11:50:53.156385,Paper,4,1277.25
2026-01-27 11:50:53.156385,Blackboard,7,749.44
2026-01-27 11:50:53.156385,Blackboard,8,437.61
2026-01-27 11:50:53.156385,Paper,8,565.22
2026-01-27 11:50:53.156385,Paper,2,1427.45
2026-01-27 11:50:53.156385,Book,5,1297.1
2026-01-27 11:50:53.156385,Book,6,1159.21
2026-01-27 11:50:53.156385,Notebook,5,146.12
2026-01-27 11:50:53.156385,Paper,1,657.57
